Rev YOY % [FY1997],Rev YOY % [FY1998],Rev YOY % [FY1999],Rev YOY % [FY2000],Rev YOY % [FY2001],Rev YOY % [FY2002],Rev YOY % [FY2003],Rev YOY % [FY2004],Rev YOY % [FY2005],Rev YOY % [FY2006],Rev YOY % [FY2007],Rev YOY % [FY2008],Rev YOY % [FY2009],Rev YOY % [FY2010],Rev YOY % [FY2011],Rev YOY % [FY2012],Rev YOY % [FY2013],Rev YOY % [FY2014],Rev YOY % [FY2015],Rev YOY % [FY2016],EBITDA Margin % [FY 1997],EBITDA Margin % [FY 1998],EBITDA Margin % [FY 1999],EBITDA Margin % [FY 2000],EBITDA Margin % [FY 2001],EBITDA Margin % [FY 2002],EBITDA Margin % [FY 2003],EBITDA Margin % [FY 2004],EBITDA Margin % [FY 2005],EBITDA Margin % [FY 2006],EBITDA Margin % [FY 2007],EBITDA Margin % [FY 2008],EBITDA Margin % [FY 2009],EBITDA Margin % [FY 2010],EBITDA Margin % [FY 2011],EBITDA Margin % [FY 2012],EBITDA Margin % [FY 2013],EBITDA Margin % [FY 2014],EBITDA Margin % [FY 2015],EBITDA Margin % [FY 2016]
19.7106,10.7008,5.1671,0.231,4.3638,-8.7056,-7.7771,3.2334,-0.0867,0.6016,6.4437,4.5234,-11.9657,-0.2871,-3.2293,-1.3434,-1.9216,8.6887,-0.194,-0.2928,10.8733,11.3326,10.0178,10.2263,12.7246,7.2804,9.6091,9.2993,8.237,8.8463,9.0364,9.0845,7.8239,7.4672,7.8608,7.0474,6.5704,6.8942,7.7099,6.8308
-,-,-,-,-,-,-,-,-,-,0,-24.3094,4.8291,-1.4032,13.0833,46.8802,7.7797,7.3689,19.0219,-,-,-,-,-,-,-,-,-,-,-,2.8127,3.1019,3.9372,3.5903,1.9794,2.8413,3.0794,4.1268,4.3972,-
34.5946,25.6763,23.564,15.9024,7.1351,-11.7508,-2.047,7.1873,16.1776,21.8747,25.146,24.6388,3.6647,15.3449,32.8187,4.208,0.1589,2.9451,-0.1281,-3.0843,27.0286,24.3539,25.4695,33.9263,37.6151,40.6699,38.8707,40.5277,39.7152,38.018,37.6305,39.2153,41.0889,41.2005,39.9051,42.2402,43.2894,43.676,42.0263,39.8223
-,-,16.2523,2.1176,17.3463,1.1407,2.1057,15.7011,13.7013,7.0712,18.3188,18.7399,-7.7393,-0.1219,18.3589,9.2338,2.514,5.04,3.4848,-,-,23.8085,23.5472,23.8225,17.1136,15.3904,14.9694,14.9529,14.8198,12.8859,15.0462,15.0763,15.7192,14.8184,14.7783,15.0426,16.3137,16.3428,16.5749,-
-,-,-,-,-,0,108.7865,10.7601,45.2059,12.1992,44.5905,5.3125,2.5714,33.9294,-1.3337,-7.6364,-14.106,5.2157,8.7373,-,-,-,-,-,-,7.2761,4.869,3.7594,4.4871,3.528,3.0911,2.758,3.1892,1.9144,2.0159,2.6641,2.2195,2.1617,2.5175,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3.5838,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5187,2.3687,-,-
7.9272,2.363,-10.451,6.5401,7.8308,1.1196,8.7732,8.4357,8.2569,10.7231,7.8086,-8.64,-21.6152,15.5085,-4.0322,-2.1827,7.23,-0.1107,1.959,-,14.9889,14.9513,13.247,14.1153,14.9313,17.4012,19.9503,21.2374,21.5488,23.3192,24.5097,20.7264,17.0708,17.9056,17.974,16.7248,16.4134,16.8212,16.5392,-
3.5106,9.751,15.0342,45.6865,29.238,-30.3868,1.4371,13.221,8.0243,28.7961,10.0146,14.4863,-9.5964,18.0548,38.4873,-3.1163,-0.9671,8.0157,1.5454,-,6.9962,5.4378,5.172,4.5537,5.4669,2.0236,2.3024,3.147,3.4613,3.9496,4.7152,4.4872,3.4098,3.7156,4.1023,4.1197,3.5326,3.6836,3.7675,-
-,0,23.8751,59.5755,2.7989,57.9712,44.4204,29.8299,15.5219,44.0503,30.3014,-3.9182,41.0564,31.3486,-21.8576,-1.3292,1.2917,22.079,0.1897,-,-,12.4668,11.3845,7.8119,6.9859,8.3038,7.4123,5.4376,5.0944,4.8654,4.837,4.6624,4.1963,3.3297,2.7159,2.2475,2.1349,2.0931,2.0343,-
11.4884,15.0201,51.0259,117.8066,-24.2559,28.9282,25.0741,26.7077,3.636,19.073,1.6456,3.2628,-11.2306,41.8593,1.7978,18.6533,17.8154,27.7681,10.5781,-,48.8714,55.0772,60.8458,61.8184,54.0976,57.0237,59.3417,59.3871,60.8769,62.5403,58.5605,54.9983,57.7009,58.3376,57.8114,61.5323,61.1126,64.9683,64.3299,-
