Payout Ratio [FY 1997] (%),Payout Ratio [FY 1998] (%),Payout Ratio [FY 1999] (%),Payout Ratio [FY 2000] (%),Payout Ratio [FY 2001] (%),Payout Ratio [FY 2002] (%),Payout Ratio [FY 2003] (%),Payout Ratio [FY 2004] (%),Payout Ratio [FY 2005] (%),Payout Ratio [FY 2006] (%),Payout Ratio [FY 2007] (%),Payout Ratio [FY 2008] (%),Payout Ratio [FY 2009] (%),Payout Ratio [FY 2010] (%),Payout Ratio [FY 2011] (%),Payout Ratio [FY 2012] (%),Payout Ratio [FY 2013] (%),Payout Ratio [FY 2014] (%),Payout Ratio [FY 2015] (%),Payout Ratio [FY 2016] (%),"Repurchase of Common Stock [FY 1997]($USDmm, Current rate)","Repurchase of Common Stock [FY 1998]($USDmm, Current rate)","Repurchase of Common Stock [FY 1999]($USDmm, Current rate)","Repurchase of Common Stock [FY 2000]($USDmm, Current rate)","Repurchase of Common Stock [FY 2001]($USDmm, Current rate)","Repurchase of Common Stock [FY 2002]($USDmm, Current rate)","Repurchase of Common Stock [FY 2003]($USDmm, Current rate)","Repurchase of Common Stock [FY 2004]($USDmm, Current rate)","Repurchase of Common Stock [FY 2005]($USDmm, Current rate)","Repurchase of Common Stock [FY 2006]($USDmm, Current rate)","Repurchase of Common Stock [FY 2007]($USDmm, Current rate)","Repurchase of Common Stock [FY 2008]($USDmm, Current rate)","Repurchase of Common Stock [FY 2009]($USDmm, Current rate)","Repurchase of Common Stock [FY 2010]($USDmm, Current rate)","Repurchase of Common Stock [FY 2011]($USDmm, Current rate)","Repurchase of Common Stock [FY 2012]($USDmm, Current rate)","Repurchase of Common Stock [FY 2013]($USDmm, Current rate)","Repurchase of Common Stock [FY 2014]($USDmm, Current rate)","Repurchase of Common Stock [FY 2015]($USDmm, Current rate)","Repurchase of Common Stock [FY 2016]($USDmm, Current rate)"
-,-,-,-,-,48.4907,37.1551,44.6905,73.5508,71.5297,45.5578,62.8014,58.6744,78.7477,61.3361,67.3128,85.473,84.3056,91.0777,-,-,-,-,-,-,0,0,123.91461,5.42767,2.20475,0,50.0032,0,0,8.80171,1.209,0,0,0,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,307.0874,228.916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-
11.5534,14.2549,21.0681,11.0524,12.0218,12.406,10.3499,15.4218,16.7432,22.9062,26.9513,46.9108,103.1493,55.1911,61.4503,63.3948,67.5221,57.218,79.3387,-,0,0,0,0,2.76323,58.6962,10.68383,4.92793,1.46641,4.60871,4492.1044,998.21439,0.41897,610.46437,995.22172,1496.01478,498.84783,1494.46857,0,-
14.1533,16.2114,15.3087,11.1266,177.8145,-,0,0,0,0,0,0,0,0,0,0,0,15.1675,15.2698,-,141.784,308.218,70.147,0,0,0,0,0,0,0,0,0,0,0,0,318.333,207.192,8.616,159.984,-
-,0,15.7375,39.3355,14.4077,13.2237,22.4556,98.6835,43.616,61.3012,47.3537,73.4098,30.33,43.6081,106.8559,95.3965,175.6567,61.2907,75.6297,-,-,0,0.11924,0,28.11075,0,0,195.30761,0,0,0,40.8096,0,0,41.39036,0,35.70453,0,0,-
0,0,0,0,0.2837,2.1054,0.9627,13.3472,49.607,48.6125,70.8823,76.8303,86.1669,48.0852,57.9206,48.7511,42.2732,30.588,38.5283,-,0,0,0,0,0,0,0,223.76545,0,0,1439.41046,1061.20444,0,0,2.26941,0,0,0,0,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.027,80.093,100.019,100,0,200,314.886,185.114,0,52.997,147.003
0,0,0,0,0,0,16.324,17.9069,24.4517,28.2591,26.0974,31.0759,68.6557,36.2488,31.5962,25.9125,29.9868,32.4588,54.6385,-,0,0,0,0,0,6,166,0,953,1500,1482,1670,285,3016,142,1313,4610,4549,11246,-
-,-,-,-,-,0,0,0,0,0,0,24.6906,16.0056,15.4718,-,0,0,0,18.5099,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.335,0,0,0,0,0,0,0,0,0,260.074,0,400.4,509.8,322.04,475.314,415.945,420.317
19.4166,36.7104,-,94.0956,25.753,-,-,18.0924,18.2088,-,154.0315,71.3196,-,0.5512,-,-,0.0131,30.7569,18.0761,15.0809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,151.01,50.129,0.1,0.321,0,0,0,0,0,0,84.236,115.763,2.478,173.65,197.044,260.87,362.793,304.763,356.434,-
0,66.0938,0,0,0,0,0,34.6859,35.2008,25.6811,52.6156,60.5225,71.6165,39.8837,37.4777,32.2339,65.7442,33.7118,31.7338,-,0,1.87048,0,0,0,0,0,0,21.08652,99.53238,167.22621,52.40217,0,0,0,0,0,87.02043,119.9295,-
11.6716,10.2679,7.725,6.0659,6.1882,6.2812,23.2518,17.235,25.6235,25.6393,31.7975,63.8604,50.1846,43.3787,55.0264,46.0215,263.1465,67.1276,68.7081,-,0,0,0,0,0,0,0,0,0,17.30003,0,0,0,9.4955,0,386.97425,326.4892,118.3686,23.02334,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,30.82787,-
