0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
201212,0,27369827.72,-23.23,4353107.3,-516224.94,3854732.54,5877283.77,0,213456.68,134079.79,23286.58,53517.95,0,0,0,4353107.3,-516224.94,3854732.54,5877283.77,1421898.1,0,0,17984170.11,61394023.19,0,0,1671054.44,213456.68,134079.79,23286.58,53517.95,0,13281525.48,14703423.58,0,0,92082291.54,34026491.06,56673735.55,730113.28,0,-2947971.08,-23.23,0,0,0,0,0,0,1289288.54,0,0,0,0,0,0,0,0,0,-782003352.6,0,-1791547.05,80320301.51
201301,0,16535261.24,0,6127703.49,-52620.34,3830384.42,7793360.2,4247457.76,118888,2472,62157.95,6096,5720673.62,12477544.82,0,6127703.49,-52620.34,3830384.42,7793360.2,7701888.7,4247457.76,0,4881795.6,3143799.74,92698.2,24026758.48,680116.8,118888,2472,62157.95,6096,11130019.97,51734000.63,59435889.33,19766882.57,981219.59,69013114.61,31584218.77,35924961.4,767928.19,2630768.28,-2896915.2,0,0,0,5409346.35,7289337.75,0,3266238.17,4684389.58,0,0,-8261.83,0,0,553802.68,1234205.199,8246544.43,1218436.38,282289793.8,76686.14,6283533.81,9612974.61
201302,0,9653565.35,0,6687146.41,585348.75,3245035.67,10077504.15,9773453.9,363305.02,-17088.95,83728.9,7811.02,2350108.39,4343211.49,0,6687146.41,585348.75,3245035.67,10077504.15,7885065.93,9773453.9,0,898715.73,4154293.48,300,16737475.7,871458.66,363305.02,-17088.95,83728.9,7811.02,10166541.97,9269745.34,17154811.27,6705812.41,669418.49,85775875.35,32185669.48,52129620.49,752403.64,2376229.33,-3237941.21,0,0,0,7816433.58,2362600.92,0,9104035.41,4185564.94,0,0,-6974.02,465783.26,0,618793.31,782194.6307,8246544.43,1218436.38,412061873.1,76686.14,6902327.12,7489637.06
201303,0,19456029.2,0,5633098.59,-665540.33,3910576,11644166.34,5388961.69,221462,21756.18,62260.82,187420.95,4290385.15,11938161.71,0,5633098.59,-665540.33,3910576,11644166.34,24073149.59,5388961.69,0,16427747.73,41567080.69,69073.69,24831260.09,1200810,221462,21756.18,62260.82,187420.95,9878824.34,31408110.38,55481259.97,19411272.14,515517.13,98304223.38,40049586.98,56995474.81,547079.85,3794890.66,-3470828.79,0,0,0,5588439.19,7473110.43,0,4873444.56,4756005.64,0,-50267.58,-19586.81,146115.95,0,-356497.83,921647.6682,9307642.37,1355859,178720919.3,51305.6,4737607.24,62250720.54
201304,0,18087054.56,0,6079328.51,-1539966.94,5450542.94,10590199.19,9664893.41,40989.13,-18963.87,77472.58,211465.07,9997095.21,7967600.3,0,6079328.51,-1539966.94,5450542.94,10590199.19,3693795.39,9664893.41,0,4181778.11,10881652.37,640772.32,26431400.95,1222396.1,40989.13,-18963.87,77472.58,211465.07,16563746.42,18108966.46,21802761.85,16662682.14,2807469.37,59435927.37,27362291.16,30950075.69,480372.11,4487570.62,-1105722.7,0,0,0,6566651.2,8695081.84,0,6857424.04,4681836.73,0,0,-5354.15,1030838.54,0,-287474.92,894802.386,9307642.37,1355859,218034844,51305.6,4450132.32,7158678.85
201305,0,25694088.39,0,11867391.08,727017.34,4723525.6,11588809.35,9762581.24,32412.49,-28994.52,91103.1,49978.34,7762175.13,11876760.39,0,11867391.08,727017.34,4723525.6,11588809.35,15720904.65,9762581.24,0,13770168.44,22993222.28,0,28851428.28,1758031.8,32412.49,-28994.52,91103.1,49978.34,16789098.82,16166779.69,31887684.34,18444102.02,1287032.22,80389941.17,42562507.74,34778833.64,2990401.42,4409803.34,-3584567.79,0,0,0,9026923.68,6567341.63,0,8475549.02,5343738.59,0,0,-15820.39,801656.02,0,-267236.49,1308415.125,9307642.37,1355859,297612658.1,46404.6,4182895.83,35927533.9
201306,0,31402595.42,0,6670639.69,318404.5,4405121.1,11765746.62,10265304.79,293642.03,-184272.57,173897.7,155565.57,10424685.32,19343736.58,0,6670639.69,318404.5,4405121.1,11765746.62,10934410.3,10265304.79,0,31429529.52,18346272.23,0,38137631.61,1418781.04,293642.03,-184272.57,173897.7,155565.57,17852379.39,38909045.45,49843455.75,27735953.57,1585930.88,82813554,44997604.07,33010723.18,4691413.42,4272962.25,-2822081.94,0,0,0,7427694.07,8392216.99,0,8679373.91,4460024.68,0,35838.73,-10864.37,19315.49,0,-2178883.44,1003055.788,9346599.81,1241254,1364634939,57356.29,5625816.97,50931868.52
201307,0,23410447.15,0,7304790.96,1241227.39,3163893.71,11694419.78,8757124.24,325664.77,172928.04,61974.1,65038,3529516.76,6730873.15,0,7304790.96,1241227.39,3163893.71,11694419.78,7654862.83,8757124.24,0,14758175.81,16840382.98,55614.96,25822629.84,1549819.21,325664.77,172928.04,61974.1,65038,12268736.21,17453596.24,25108459.07,17009977.72,514908.07,80063648.6,32094080.94,45719999.32,1868155.01,2847856.32,-2691838.53,0,0,0,8739219.45,10279104.57,0,8242216.17,5297118.71,0,27424.77,-11102.66,142,0,134827.58,965434.9402,9346599.81,1241254,172616111.2,84781.06,3885979.62,33769229.92
201308,0,19448049.23,0,5681119.24,-483118.69,3647012.4,10268158.91,7005684.69,216368.2,-114448.09,63294.1,25452.06,4006928.28,5861758.12,0,5681119.24,-483118.69,3647012.4,10268158.91,13138514.42,7005684.69,0,9611856.88,24037091.08,608160,24412207.68,1550065.72,216368.2,-114448.09,63294.1,25452.06,13966484.52,33311324.22,46449838.64,17381308.65,352325.52,76109543.82,29670284.42,43778372.85,1994528.18,2818750.28,-2745195.13,0,0,0,9959556.24,11519550.53,0,6653359.17,5295047.93,0,0,-15833.85,1320.43,0,147406.87,1803083.844,9346599.81,1241254,178143941.2,84781.06,4033386.49,35734800.48
201309,0,17151902.12,736.78,6506122.75,1268538.98,2378473.42,9257439.03,9714543.81,205220.14,5479.25,130553.9,124503.98,4919729.48,7092778.77,0,6506122.75,1268538.98,2378473.42,9257439.03,11243439.49,9714543.81,0,13489347.92,22243820.44,0,28043954.22,3540366.08,205220.14,5479.25,130553.9,124503.98,13925585.21,9999491,21242930.49,18281635.46,1503926.6,68502764.57,26537162.03,40169163.72,1716100.26,2487693.06,-3043615.03,736.78,0,0,9005855.74,11188856.69,0,8210617.21,5281406.19,0,-54394.92,-9526.91,-89211.9,0,-75631.06,1160897.98,8862525.5,1419963,169033018.3,30386.14,3957755.43,41302886.57
